nama_tempat,latitude,longitude,kategori,deskripsi_referensi,deskripsi_keliru
RKC SEAFOOD / RUMAH KEPITING CUMI BPD,"-1,2230313","116,8321765",Restoran,"RKC SEAFOOD / RUMAH KEPITING CUMI BPD adalah restoran yang menyajikan hidangan laut di kawasan Balikpapan, Kalimantan Timur.",RKC SEAFOOD / RUMAH KEPITING CUMI BPD digambarkan sebagai pusat pelatihan selam profesional yang menyediakan sertifikasi scuba internasional.
Mapsservis Kursi Sofa Panggilan,"-1,2217868","116,8321306",Toko Furnitur,Mapsservis Kursi Sofa Panggilan adalah toko furnitur yang melayani perbaikan serta penjualan kursi dan sofa di area Balikpapan.,Mapsservis Kursi Sofa Panggilan dijelaskan sebagai layanan pemetaan satelit yang menawarkan analisis geospasial untuk proyek tambang.
Radja Tenda,"-1,2237713","116,8329828",Layanan Sewa Tenda,"Radja Tenda merupakan layanan sewa tenda yang menyediakan perlengkapan acara di wilayah Balikpapan, Kalimantan Timur.",Radja Tenda disebut sebagai platform penjualan perangkat lunak akuntansi untuk UMKM.
DapurMomoy08,"-1,2236036","116,832622",Toko Kue,DapurMomoy08 adalah toko kue rumahan yang menjual berbagai jenis kue dan camilan di Balikpapan.,DapurMomoy08 dijelaskan sebagai laboratorium pengujian pangan bersertifikat ISO.
Perumahan bpd,"-1,222027","116,8321634",Dapur Umum,Perumahan BPD berfungsi sebagai dapur umum atau tempat penyedia makanan di kawasan perumahan Balikpapan.,Perumahan BPD dipaparkan sebagai kantor distribusi logistik bahan bangunan skala kota.
Nayla ol shop,"-1,223107","116,833381",Toko Perhiasan,Nayla Ol Shop adalah toko perhiasan yang menjual berbagai aksesoris dan perhiasan wanita di Balikpapan.,Nayla Ol Shop digambarkan sebagai bengkel reparasi mesin diesel untuk kapal nelayan.
Makam Abah Muhammad Arsyad Bin Muhammad Yasin,"-1,2236132","116,833412",Pemakaman,"Makam Abah Muhammad Arsyad Bin Muhammad Yasin merupakan area pemakaman umum di Balikpapan, Kalimantan Timur.",Makam Abah Muhammad Arsyad Bin Muhammad Yasin disebut sebagai studio produksi film dokumenter sejarah.
Distributor Shannen,"-1,2218823","116,8325451",Toko Kosmetik,Distributor Shannen adalah toko kosmetik yang menyediakan produk kecantikan merek Shannen di Balikpapan.,Distributor Shannen dijelaskan sebagai perusahaan ekspedisi barang berat antar-pulau.
PT. ITCI Kartika Utama,"-1,2235762","116,8099926",Pemasok kayu,"PT. ITCI Kartika Utama merupakan pemasok kayu yang beroperasi di Balikpapan, Kalimantan Timur.",PT. ITCI Kartika Utama digambarkan sebagai penyedia layanan cloud computing dan pusat data regional.
CV. FELISHA SAMUDRA JAYA,"-1,2250518","116,8098223",Perusahaan Konstruksi,"CV. FELISHA SAMUDRA JAYA adalah perusahaan konstruksi yang bergerak di bidang pembangunan dan jasa proyek di Balikpapan, Kalimantan Timur.",CV. FELISHA SAMUDRA JAYA disebut sebagai sekolah pilot yang menyediakan pelatihan penerbangan dasar.
SNIPER CI IN CI (GUNSHOP 88),"-1,187394","116,9934297",Toko Airsoft Gun,SNIPER CI IN CI (GUNSHOP 88) merupakan toko airsoft gun yang menjual perlengkapan dan aksesoris senjata replika di Balikpapan.,SNIPER CI IN CI (GUNSHOP 88) dijelaskan sebagai klinik fisioterapi olahraga profesional.
rentalmobilbpp354,"-1,2701875","116,8471373",Agen Sewa Mobil,rentalmobilbpp354 adalah agen sewa mobil yang menyediakan layanan penyewaan kendaraan harian maupun bulanan di Balikpapan.,rentalmobilbpp354 disebut sebagai perusahaan konsultan perpajakan khusus industri migas.
Mie Pedas Rempah / Mie Dower 62,"-1,2705814","116,8468263",Restoran Mie,Mie Pedas Rempah / Mie Dower 62 adalah restoran mie yang menawarkan menu mie pedas dengan berbagai tingkat kepedasan di Balikpapan.,Mie Pedas Rempah / Mie Dower 62 digambarkan sebagai toko perkakas bangunan yang menjual alat bor dan mesin serbaguna.
Kos-Kosan/Kontrakan/Sewa Rumah,"-1,2706094","116,8470514",Agen Sewa Mobil,"Kos-Kosan/Kontrakan/Sewa Rumah menyediakan layanan penyewaan tempat tinggal seperti kamar kos, kontrakan, dan rumah di area Balikpapan.",Kos-Kosan/Kontrakan/Sewa Rumah dipaparkan sebagai studio fotografi komersial untuk produk dan fashion.
Garasi 2 Tak (house of boker),"-1,2701308","116,8474595",Bengkel Sepeda Motor,Garasi 2 Tak (house of boker) adalah bengkel sepeda motor yang melayani perbaikan dan modifikasi motor dua tak di Balikpapan.,Garasi 2 Tak (house of boker) disebut sebagai toko alat musik yang fokus pada gitar elektrik dan efek suara.
KOTAKAN AJA,"-1,2706024","116,8468134",Paket Makanan Pokok,"KOTAKAN AJA menyediakan paket makanan pokok dan kebutuhan harian untuk masyarakat di Balikpapan, Kalimantan Timur.",KOTAKAN AJA dijelaskan sebagai biro perjalanan yang menyediakan paket wisata mancanegara.
Surya Bakti,"-1,2509652","116,8386484",Toko Elektronik,Surya Bakti adalah toko elektronik yang menjual berbagai peralatan listrik dan kebutuhan rumah tangga di Balikpapan.,Surya Bakti digambarkan sebagai penyedia jasa audit keamanan siber untuk perusahaan enterprise.
Panca Jaya Motor. UD,"-1,2517342","116,8384735",Toko Aksesori Truk,Panca Jaya Motor. UD merupakan toko yang menjual berbagai aksesori dan suku cadang truk di Balikpapan.,Panca Jaya Motor. UD disebut sebagai kantor hukum yang menyediakan layanan litigasi dan nonlitigasi.
Kelompok Bermain Darul Ihsan,"-1,2512905","116,838634",Kelompok Bermain,Kelompok Bermain Darul Ihsan adalah lembaga pendidikan anak usia dini yang menyediakan kegiatan belajar dan bermain di Balikpapan.,Kelompok Bermain Darul Ihsan dipaparkan sebagai pusat riset robotika untuk kompetisi nasional.
PT. GLOBAL ABADI SEJAHTERA,"-1,2516821","116,8373896",Agen Gas Elpiji,PT. GLOBAL ABADI SEJAHTERA adalah agen gas elpiji yang menyediakan distribusi dan penjualan gas untuk kebutuhan rumah tangga serta industri di Balikpapan.,PT. GLOBAL ABADI SEJAHTERA dijelaskan sebagai penyedia jasa fotografi udara menggunakan drone industri.
PT. Kinibalu Jaya Raya,"-1,2516","116,837439",Agen Gas Elpiji,"PT. Kinibalu Jaya Raya merupakan agen gas elpiji yang melayani penjualan serta pengiriman gas elpiji di wilayah Balikpapan, Kalimantan Timur.",PT. Kinibalu Jaya Raya digambarkan sebagai perusahaan desain interior hotel berbintang.
kios 45,"-1,2360465","116,8134757",Toko Perlengkapan Rumah,kios 45 adalah toko perlengkapan rumah yang menjual berbagai kebutuhan rumah tangga dan alat rumah di Balikpapan.,kios 45 disebut sebagai biro jasa pembuatan website untuk toko online.
Khanza cake & cookies,"-1,2360416","116,8135079",Toko Kue,"Khanza cake & cookies adalah toko kue yang menjual aneka kue, roti, dan cookies buatan rumahan di Balikpapan.",Khanza cake & cookies dijelaskan sebagai pusat servis laptop dan komputer skala kota.
